A & B|2017|McAllister Park, San Antonio, Texas, USA
A 'Dreamlife'|2016|Campulung, Romania
A 'Pitch-Dark' Diorama|2016|Bangalore, India
A|2010|Rochester, New York, USA
A 001: operazione Giamaica|1965|Madrid, Spain
A 111-es|1920|Budapest, Hungary
A 1940's Werewolf|2012|Cornwall, England, UK
A 2 heures de Paris|2017|Paris, France
A 24k Gold Bear|2007|Red Deer, Alberta, Canada
A Alma da Gente|2013|Rio de Janeiro, Rio de Janeiro, Brazil
A Ay|1988|Istanbul, Turkey
A BDA Valentines|2013|Minnesota, USA
A Baby Away|2008|Redondo Beach, California, USA
A Baby Merry-Go-Round|1897|Coney Island, Brooklyn, New York City, New York, USA
A Baby Named Pong|2011|Los Angeles, California, USA
A Baby's Shoe|1909|Central Park, Manhattan, New York City, New York, USA
A Babysitter's Nightmare|2012|Houston, Texas, USA
A Backyard Story|2010|Hamburg, Germany
A Bad Day|2006|Bill & Son's Pure Gas - 10 S Babcock Street, Melbourne, Florida, USA
A Bad Day at the Office|2008|Norwich, Norfolk, England, UK
A Bad Gamble|2014|Muttontown, Oyster Bay, Long Island, New York, USA
A Bad Habit|2013|Austin, Texas, USA
A Bad Idea Gone Wrong|2017|Fort Worth, Texas, USA
A Bad Moms Christmas|2017|Atlanta, Georgia, USA
A Bag of Hammers|2011|Burbank, California, USA
A Bahamian Pineapple Plantation|1914|Grand Bahama Island, Bahamas
A Bakery Story|2009|New Braunfels, Texas, USA
A Ball on a Battleship|1902|Fishers Island, Long Island, New York, USA
A Ball's Tale|2007|Edinburgh, Scotland, UK
A Ballad of the South Seas|1913|Tahiti, French Polynesia
A Ballpoint Story|2009|Tucson, Arizona, USA
A Band Apart|2009|New York City, New York, USA
A Bang Sun Engine|1915|Ithaca, New York, USA
A Barber's Shop in Pekin|1900|Beijing, China
A Barber's Wisdom|2001|Lagos, Nigeria
A Barge Called Hope|2006|Sloboda Pechery, Russia
A Barge and Its Wind|2010|Cleveland, Ohio, USA
A Barnyard Romance|1919|Long Beach, California, USA
A Baseball Love Story: The Texas Rangers|2012|Dallas, Texas, USA
A Bash|2015|St. Louis, Missouri, USA
A Basket Case Study|2015|Greenwich Village, New York City, New York, USA
A Batalha das Flores no Campo Grande|1907|Campo Grande, Lisbon, Portugal
A Beacon in Havana|2015|Havana, Cuba
A Beary Scary Movie|2012|North Carolina, USA
A Beast at Bay|1912|California, USA
A Beastly Family Affair|2018|Bavaria Film Studios, Munich, Bavaria, Germany
A Beat in Time|1983|South Australia, Australia
A Beautiful Belly|2011|Clearwater Marine Aquarium, Clearwater, Florida, USA
A Beautiful Credence|2015|San Diego, California, USA
A Beautiful Dream, A Terrible Nightmare|2016|Knightsridge Observatory, Bloomington, Indiana, USA
A Beautiful Fix|2004|New York, USA
A Beautiful Mind|2001|Bayonne, New Jersey, USA
A Beautiful Mind... of a Gladiator|2004|Princeton University, Princeton, New Jersey, USA
A Beautiful Request|2018|Alma Park, St. Kilda East, Melbourne, Australia
A Beautiful Sunset|2016|Denver, Colorado, USA
A Beautifully Controlled Study of Provincial Melancholy|2007|Boston, Massachusetts, USA
A Bedfull of Foreigners|1998|Santa Clarita, California, USA
A Beginner's Guide to Endings|2010|Niagara Falls, Ontario, Canada
A Beginners Guide to 'Occupy'|2011|Bristol, England, UK
A Belfast Story|2013|Belfast, Northern Ireland
A Bell for Philadelphia|1963|Philadelphia, Pennsylvania, USA
A Belle for Christmas|2014|Nashville, Tennessee, USA
A Belle of Olden Days|1914|Santa Paula, California, USA
A Belly Full of Anger|2012|Brooklyn, New York City, New York, USA
A Berlin State of Mind|2014|Kreuzberg, Berlin, Germany
A Betrayal|2014|UCLA, Westwood, Los Angeles, California, USA
A Betrayal of Trust|2008|University of Southern California, Los Angeles, California, USA
A Better Hole|2008|Paphos, Cyprus
A Better Life|2005|Williamsburg, Brooklyn, New York City, New York, USA
A Better Me|2009|Vancouver, British Columbia, Canada
A Better Place|1997|Monmouth County, New Jersey, USA
A Better Road|2012|Nangchen, Qinghai Province, China
A Better Way to Die|2000|Chicago, Illinois, USA
A Big Bad VooDoo Video, the Making Of|2001|Hollywood, California, USA
A Big Deal|2013|Dublin, County Dublin, Ireland
A Big Hand for the Little Lady|1966|Flagstaff, Arizona, USA
A Big Road|2009|Shanghai, China
A Bigger Fish Than He Could Manage|1898|Shrewsbury River, New Jersey, USA
A Bird Named Robin|2008|San Luis Obispo, California, USA
A Bird in Two Cages|2015|Pontoon Dock, London, England, UK
A Bird in the Bush|2008|San Francisco, California, USA
A Bird in the Hand|2009|Memphis, Tennessee, USA
A Bird of the Air|2011|Santa Fe, New Mexico, USA
A Bird's Nest|2014|Shreveport, Louisiana, USA
A Bit of Bad Luck|2014|Seattle, Washington, USA
A Bit of Natal Scenery|1900|KwaZulu-Natal, South Africa
A Bit of Rope|2009|Langley, British Columbia, Canada
A Bit of Tom Jones?|2009|Tredegar, Blaenau Gwent, Wales, UK
A Black Lie|2009|Beverly Hills, California, USA
A Black Widow|2009|Culver City High School - 4401 Elenda Street, Culver City, California, USA
A Blank Page|2015|Wen Zhou, China
A Blast|2014|Athens, Greece
A Blast at the Solvay Quarries|1898|Syracuse, New York, USA
A Blast in a Gravel Bed|1902|Berlin, Germany
A Blessing and a Curse|2010|Cuthbert, Georgia, USA
A Blessing for Eileen|2016|Enniskillen, County Fermanagh, Northern Ireland, UK
A Blessing from Above|1904|Biograph Studio, Manhattan, New York City, New York, USA
A Blind Date|2015|Norman, Oklahoma, USA
A Blind Perspective|2007|London, England, UK
A Blood Connection|2006|Queens, New York City, New York, USA
A Blood Story|2015|Florida, USA
A Bloody Mess|2009|Commack, Long Island, New York, USA
A Blooming Business|2009|Noord-Holland, Netherlands
A Blue Collapse|2004|Chappaqua, New York, USA
A Blueprint for Murder|1953|Cedars of Lebanon Hospital - 4833 Fountain Avenue, East Hollywood, Los Angeles, California, USA
A Blurred Line|2015|Santa Barbara, California, USA
A Boat Retold|2011|Isle of Lewis, Western Isles, Scotland, UK
A Bodyless Head's Walk on the Stars|2007|Hollywood, Los Angeles, California, USA
A Bold Affair|1998|Thousand Oaks, California, USA
A Bollywood Movie|2003|Orange County, California, USA
A Borrowed Identity|1913|Niles, California, USA
A Borrowed Village|2010|I.C.C., Jerusalem, Israel
A Bothered Conscience|2005|Horseshoe Bend, Arkansas, USA
A Box for Rob|2013|Concord, North Carolina, USA
A Boy|2006|Mombasa, Kenya
A Boy Called Dad|2009|Wirral, Merseyside, England, UK
A Boy Called Fish|2005|Orlando, Florida, USA
A Boy Called Hate|1995|Lancaster, California, USA
A Boy Called Sailboat|2017|Silver City, New Mexico, USA
A Boy Named Bellamy|2015|Oregon, USA
A Boy Who Could Fly|2018|Riverside, California, USA
A Boy a Girl and a Dead Cat|1999|O'ahu, Hawaii, USA
A Boy and His Dad|2015|Downey, California, USA
A Boy and His Dog|1975|Arroyo Verde Park, Ventura, California, USA
A Boy and His Hand|2002|Princeton, New Jersey, USA
A Boy and a Boa|1975|Orange Public Library - 348 Main Street, Orange, New Jersey, USA
A Boy in China|2012|Phoenix, Arizona, USA
A Boy's Best Friend|2010|Southampton, Hampshire, England, UK
A Boy's Life|1999|Asheville, North Carolina, USA
A Boy, a Girl and a Bike|1949|Bolton Abbey, North Yorkshire, England, UK
A Boys Night Out|2011|New Jersey, USA
A Brand from the Burning|1912|Saranac Lake, New York, USA
A Bread Factory, Part One|2018|Hudson, New York, USA
